M,Triton RMSNorm,PyTorch RMSNorm
128.000000,105.435901,42.833332
256.000000,113.999996,47.445089
512.000000,117.985615,49.696968
1024.000000,119.649639,50.592594
2048.000000,120.944651,51.373039
4096.000000,121.490274,51.711243
8192.000000,122.105260,51.692790
