N,Triton RMSNorm,PyTorch RMSNorm
1024.000000,50.776861,18.124730
2048.000000,45.343174,18.992273
4096.000000,45.343174,19.267737
8192.000000,45.469012,19.381704
16384.000000,41.956468,17.912537
